Gene Symbol and Synonyms,UniProt Accession
BT_1222,Q8A8E5
BT_1998,Q8A688
BT_3339,Q8A2G6
BT_3838,Q8A133
BT_3950,Q8A0S1
BT_0793,Q8A9M2
BT_3763,Q8A1A3
BT_3764,Q8A1A2
BT_t42,-
BT_2721,Q8A482
BT_3697,Q8A1G4
BT_3007,Q8A3E7
BT_1323,Q8A851
BT_2143,Q8A5U5
BT_4684,Q89YP7
BT_4339,Q89ZN8
BT_2060,Q8A626
BT_2142,Q8A5U6
BT_0200,Q8ABB0
BT_4612,Q89YW9
BT_1575,Q8A7E9
BT_1443,Q8A7T1
BT_4102,Q8A0B9
BT_0413,Q8AAQ1
BT_t40,-
BT_0329,Q8AAY3
BT_0438,Q8AAM6
BT_1288,Q8A886
BT_3336,Q8A2G9
BT_0252,Q8AB59
BT_3394,Q8A2B1
BT_1364,Q8A810
BT_2166,Q8A5S2
BT_1554,Q8A7H0
BT_1317,Q8A857
BT_3430,Q8A276
BT_0745,Q8A9S0
BT_1890,Q8A6J1
BT_t61,-
BT_1566,Q8A7F8
BT_0373,Q8AAU1
BT_2571,Q8A4M8
BT_2231,Q8A5K8
BT_3107,Q8A348
BT_4690,Q89YP1
BT_3173,Q8A2Y2
BT_3187,Q8A2W8
BT_t41,-
BT_2510,Q8A4T7
BT_3343,Q8A2G2
BT_0737,Q8A9S8
BT_t28,-
BT_1478,Q8A7P6
BT_2738,Q8A465
BT_1601,Q8A7C3
BT_1098,Q8A8R9
BT_0834,Q8A9I1
BT_2397,Q8A545
BT_1979,Q8A6A6
BT_0644,Q8AA21
BT_0422,Q8AAP2
BT_1615,Q8A7B0
BT_t08,-
BT_4664,Q89YR7
BT_1835,Q8A6P2
BT_1376,Q8A7Z8
BT_3877,Q8A0Z4
BT_0652,Q8AA13
BT_4064,Q8A0F7
BT_t36,-
BT_3532,Q8A1X6
BT_2710,Q8A493
BT_2124,Q8A5W2
BT_4045,Q8A0H6
BT_0526,Q8AAD9
BT_1010,Q8A907
BT_1848,Q8A6M9
BT_1375,Q8A7Z9
BT_1854,Q8A6M3
BT_t01,-
BT_4307,Q89ZR9
BT_1203,Q8A8G4
BT_0557,Q8AAA8
BT_1374,Q8A800
BT_1418,Q8A7V6
BT_4554,Q89Z23
BT_r08,-
BT_1822,Q8A6Q5
BT_2141,Q8A5U7
BT_t63,-
BT_1367,Q8A807
BT_t05,-
BT_t51,-
BT_3340,Q8A2G5
BT_1662,Q8A763
BT_4127,Q8A094
BT_2090,Q8A5Z6
BT_0915,Q8A9A0
BT_3839,Q8A132
BT_1669,Q8A756
BT_3888,Q8A0Y3
BT_4362,Q89ZL5
BT_3133,Q8A322
BT_4065,Q8A0F6
BT_2841,Q8A3W3
BT_3718,Q8A1E8
BT_4309,Q89ZR7
BT_1757,Q8A6W9
BT_3055,Q8A399
BT_0381,Q8AAT3
BT_3567,Q8A1U1
BT_1840,Q8A6N7
BT_0757,Q8A9Q8
BT_2909,Q8A3P5
BT_1692,Q8A733
BT_2256,Q8A5I3
BT_1672,Q8A753
BT_4255,Q89ZW6
BT_3115,Q8A340
BT_3665,Q8A1J6
BT_4443,Q89ZD4
BT_0343,Q8AAW9
BT_0351,Q8AAW1
BT_0738,Q8A9S7
BT_1202,Q8A8G5
BT_2709,Q8A494
BT_3876,Q8A0Z5
BT_0889,Q8A9C6
BT_1872,Q8A6K9
BT_0623,Q8AA42
BT_0540,Q8AAC5
BT_0379,Q8AAT5
BT_0243,Q8AB68
